,Title,abstractText,meshMajor,pmid,meshid,meshroot,A,B,C,D,E,F,G,H,I,J,L,M,N,Z
25424,Plagiarism in research: a survey of African medical journals.,"OBJECTIVES: To examine whether regional biomedical journals in Africa had policies on plagiarism and procedures to detect it; and to measure the extent of plagiarism in their original research articles and reviews.DESIGN: Cross sectional survey.SETTING AND PARTICIPANTS: We selected journals with an editor-in-chief in Africa, a publisher based in a low or middle income country and with author guidelines in English, and systematically searched the African Journals Online database. From each of the 100 journals identified, we randomly selected five original research articles or reviews published in 2016.OUTCOMES: For included journals, we examined the presence of plagiarism policies and whether they referred to text matching software. We submitted articles to Turnitin and measured the extent of plagiarism (copying of someone else's work) or redundancy (copying of one's own work) against a set of criteria we had developed and piloted.RESULTS: Of the 100 journals, 26 had a policy on plagiarism and 16 referred to text matching software. Of 495 articles, 313 (63%; 95% CI 58 to 68) had evidence of plagiarism: 17% (83) had at least four linked copied or more than six individual copied sentences; 19% (96) had three to six copied sentences; and the remainder had one or two copied sentences. Plagiarism was more common in the introduction and discussion, and uncommon in the results.CONCLUSION: Plagiarism is common in biomedical research articles and reviews published in Africa. While wholesale plagiarism was uncommon, moderate text plagiarism was extensive. This could rapidly be eliminated if journal editors implemented screening strategies, including text matching software.","['Africa', 'Biomedical Research', 'Cross-Sectional Studies', 'Editorial Policies', 'Humans', 'Journalism, Medical', 'Periodicals as Topic', 'Plagiarism', 'Software']",30413518,"[['Z01.058'], ['H01.770.644.145'], ['E05.318.372.500.875', 'N05.715.360.330.500.875', 'N06.850.520.450.500.875'], ['L01.737.484'], ['B01.050.150.900.649.313.988.400.112.400.400'], ['L01.737.498.550'], ['L01.178.682.829.678'], ['L01.737.684'], ['L01.224.900']]","['Geographicals [Z]', 'Disciplines and Occupations [H]', 'Analytical, Diagnostic and Therapeutic Techniques, and Equipment [E]', 'Health Care [N]', 'Information Science [L]', 'Organisms [B]']",0,1,0,0,1,0,0,1,0,0,1,0,1,1
41460,Regulation of CD11b/CD18 expression in human neutrophils by phospholipase A2.,"Recent evidence suggests that phospholipase A2 (PLA2)-derived lipid mediators may regulate a number of neutrophil responses including degranulation and adhesion. In view of the potential role of PLA2 in stimulus-secretion coupling, we examined the relationship between PLA2 activation and the surface expression of CD11b/CD18 (MAC-1) in human polymorphonuclear leukocytes (hPMNL), including the functional consequences of PLA2 inactivation on MAC-1-dependent adhesion. The selective inhibition of PLA2 by the marine natural products manoalide (MLD) and scalaradial (SLD) blocks [3H]arachidonic acid (AA) release in calcium ionophore A23187-stimulated neutrophils, and also inhibits secretion of specific and azurophilic granule constituents. Additional studies demonstrate that MLD, SLD, and other less potent PLA2 inhibitors such as 4-bromophenacylbromide and nordihydroguiaretic acid inhibit the surface expression of MAC-1 (IC50: MLD, 0.33 microM; SLD, 0.23 microM; 4-bromophenacylbromide, 2.8 microM; NDGA, 3.5 microM) at concentrations similar to those at which they inhibit [3H]AA release. Inhibitors of cyclooxygenase, 5-lipoxygenase, protein kinase C, or calcium channel antagonists have no effect on MAC-1 expression. PLA2 inactivation also prevents MAC-1 up-regulation in hPMNL stimulated with FMLP, IL-8, TNF-alpha, PMA, or platelet activating factor. In FMLP-stimulated hPMNL, under conditions in which no secondary granule constituents are secreted, MAC-1 and alkaline phosphatase up-regulation from intracellular granules is inhibited by MLD and SLD. Functional assays also demonstrate that MLD and SLD block MAC-1-dependent adhesion of activated neutrophils to keyhole limpet hemocyanin at concentrations that block the surface expression of MAC-1. [3H]AA release and MAC-1 expression in MLD and SLD-treated hPMNL could be recovered in the presence of 1 mM hydroxylamine in a time-dependent fashion, consistent with reported data that MLD and SLD inactivate PLA2 through Schiff base formation. In summary, these data emphasize the role of PLA2 as a key regulator of MAC-1 expression in models of neutrophil adhesion.","['Arachidonic Acid', 'Cell Adhesion', 'Cell Degranulation', 'Enzyme Activation', 'Homosteroids', 'Humans', 'Macrophage-1 Antigen', 'Neutrophils', 'Phospholipases A', 'Phospholipases A2', 'Sesterterpenes', 'Terpenes']",8228253,"[['D10.251.355.255.100.100', 'D10.251.355.310.166.100'], ['G04.022'], ['G04.468.160'], ['G02.111.263', 'G03.328'], ['D04.210.500.496'], ['B01.050.150.900.649.313.988.400.112.400.400'], ['D12.776.543.750.705.408.495.500', 'D12.776.543.750.705.408.600.500', 'D12.776.543.750.705.833.500'], ['A11.118.637.415.583', 'A11.627.340.583', 'A11.733.689', 'A15.145.229.637.415.583', 'A15.382.490.315.583', 'A15.382.680.689'], ['D08.811.277.352.100.680.750'], ['D08.811.277.352.100.680.750.937'], ['D02.455.849.842'], ['D02.455.849']]","['Chemicals and Drugs [D]', 'Phenomena and Processes [G]', 'Organisms [B]', 'Anatomy [A]']",1,1,0,1,0,0,1,0,0,0,0,0,0,0
42671,Attenuation of platelet reactivity by enoxaparin compared with unfractionated heparin in patients undergoing haemodialysis.,"BACKGROUND: Increased platelet reactivity presages adverse cardiac events. Because both haemodialysis and unfractionated heparin (UFH) can increase platelet reactivity, we compared platelet reactivity during haemodialysis when patients were anticoagulated with UFH or enoxaparin.METHODS: Patients (n = 20) underwent consecutive haemodialysis sessions with either UFH or enoxaparin in a random order. Blood was taken from the arterial end of the haemodialysis circuit at the initiation of haemodialysis before anticoagulation. Subsequently, blood was taken during dialysis from the venous end of the circuit 10 min after treatment with UFH or enoxaparin. Platelet reactivity was assessed with the use of flow cytometry by determining the capacity of platelets to bind fibrinogen and the surface expression of P-selectin in response to adenosine diphosphate (ADP, 0 and 0.2 microM). Results were compared with the use of two-way repeated measure ANOVA.RESULTS: Platelet reactivity in arterial blood obtained at the beginning of dialysis prior to patients being treated with either UFH [0.2 microM ADP-induced capacity to bind fibrinogen = 28+/-15% (SD)] or enoxaparin (30+/-18%) was similar (P = 0.15). In contrast, platelet reactivity was less after treatment with enoxaparin compared with UFH (P = 0.006). The 0.2 microM ADP-induced capacity to bind fibrinogen in venous blood obtained 10 min after anticoagulation was 34+/-11% after treatment with UFH and 22+/-11% after treatment with enoxaparin.CONCLUSIONS: Anticoagulation with enoxaparin during haemodialysis is associated with less platelet reactivity compared with UFH. Accordingly, enoxaparin use may contribute to a lesser risk of cardiac events in patients with end-stage renal disease treated with haemodialysis.","['Aged', 'Anticoagulants', 'Blood Platelets', 'Enoxaparin', 'Female', 'Fibrinogen', 'Flow Cytometry', 'Heparin', 'Humans', 'Male', 'Middle Aged', 'P-Selectin', 'Platelet Activation', 'Protein Binding', 'Renal Dialysis']",15034156,"[['M01.060.116.100'], ['D27.505.954.502.119'], ['A11.118.188', 'A15.145.229.188'], ['D09.698.373.400.300.200'], ['D12.776.124.050.250', 'D12.776.124.125.500', 'D12.776.811.300', 'D23.119.490'], ['E01.370.225.500.363.342', 'E01.370.225.500.386.350', 'E05.196.712.516.600.240.350', 'E05.200.500.363.342', 'E05.200.500.386.350', 'E05.242.363.342', 'E05.242.386.350'], ['D09.698.373.400'], ['B01.050.150.900.649.313.988.400.112.400.400'], ['M01.060.116.630'], ['D12.776.395.550.200.700.775', 'D12.776.395.550.625.905', 'D12.776.503.843.775', 'D12.776.543.550.200.700.775', 'D12.776.543.550.625.905', 'D23.050.301.350.700.775'], ['G09.188.390.600'], ['G02.111.679', 'G03.808'], ['E02.870.300', 'E02.912.800']]","['Named Groups [M]', 'Chemicals and Drugs [D]', 'Anatomy [A]', 'Analytical, Diagnostic and Therapeutic Techniques, and Equipment [E]', 'Organisms [B]', 'Phenomena and Processes [G]']",1,1,0,1,1,0,1,0,0,0,0,1,0,0
27279,"Coordination chemistry of conformation-flexible 1,2,3,4,5,6-cyclohexanehexacarboxylate: trapping various conformations in metal-organic frameworks.","To study the conformations of 1,2,3,4,5,6-cyclohexanehexacarboxylic acid (H(6)L), eleven new coordination polymers have been isolated from hydrothermal reactions of different metal salts with 1e,2a,3e,4a,5e,6a-cyclohexanehexacarboxylic acid (3e+3a, H(6)L(I)) and characterized. They are [Cd(12)(mu(6)-L(II))(mu(10)-L(II))(3)(mu-H(2)O)(6)(H(2)O)(6)]16.5 H(2)O (1), Na(12)[Cd(6)(mu(6)-L(II))(mu(6)-L(III))(3)]27 H(2)O (2), [Cd(3)(mu(13)-L(II))(mu-H(2)O)] (3), [Cd(3)(mu(6)-L(III))(2,2'-bpy)(3)(H(2)O)(3)]2 H(2)O (4), [Cd(4)(mu(4)-L(VI))(2)(4,4'-Hbpy)(4)(4,4'-bpy)(2)(H(2)O)(4)]9.5 H(2)O (5), [Cd(2)(mu(6)-L(II))(4,4'-Hbpy)(2)(H(2)O)(10)]5 H(2)O (6), [Cd(3)(mu(11)-L(VI))(H(2)O)(3)] (7), [M(3)(mu(9)-L(II))(H(2)O)(6)] (M=Mn (8), Fe (9), and Ni (10)), and [Ni(4)(OH)(2)(mu(10)-L(II))(4,4'-bpy)(H(2)O)(4)]6 H(2)O (11). Three new conformations of 1,2,3,4,5,6-cyclohexanehexacarboxylate, 6e (L(II)), 4e+2a (L(III)) and 5e+1a (L(VI)), have been derived from the conformational conversions of L(I) and trapped in these complexes by controlling the conditions of the hydrothermal systems. Complexes 1 and 2 have three-dimensional (3D) coordination frameworks with nanoscale cages and are obtained at relatively low temperatures. A quarter of the L(I) ligands undergo a conformational transformation into L(II) while the others are transformed into L(III) in the presence of NaOH in 2, while all of the L(I) are transformed into L(II) in the absence of NaOH in 1. Complex 3 has a 3D condensed coordination framework, which was obtained under similar reaction conditions as 1, but at a higher temperature. The addition of 2,2'-bipyridine (2,2'-bpy) or 4,4'-bipyridine (4,4'-bpy) to the hydrothermal system as an auxiliary ligand also induces the conformational transformation of H(6)L(I). A new L(VI) conformation has been trapped in complexes 4-7 under different conditions. Complex 4 has a 3D microporous supramolecular network constructed from a 2D L(III)-bridged coordination layer structure by pi-pi interactions between the chelating 2,2'-bpy ligands. Complexes 5-7 have different frameworks with L(II)/L(VI) conformations, which were prepared by using different amounts of 4,4'-bpy under similar synthetic conditions. Both 5 and 7 are 3D coordination frameworks involving the L(VI) ligands, while 6 has a 3D microporous supramolecular network constructed from a 2D L(II)-bridged coordination layer structure by interlayer N(4,4'-Hbpy)--HO(L(II)) hydrogen bonds. 3D coordination frameworks 8-11 have been obtained from the H(6)L(I) ligand and the paramagnetic metal ions Mn(II), Fe(II), and Ni(II), and their magnetic properties have been studied. Of particular interest to us is that two copper coordination polymers of the formulae [{Cu(II) (2)(mu(4)-L(II))(H(2)O)(4)}{Cu(I) (2)(4,4'-bpy)(2)}] (12 alpha) and [Cu(II)(Hbtc)(4,4'-bpy)(H(2)O)]3 H(2)O (H(3)btc=1,3,5-benzenetricarboxylic acid) (12 beta) resulted from the same one-pot hydrothermal reaction of Cu(NO(3))(2), H(6)L(I), 4,4'-bpy, and NaOH. The Hbtc(2-) ligand in 12 beta was formed by the in situ decarboxylation of H(6)L(I). The observed decarboxylation of the H(6)L(I) ligand to H(3)btc may serve as a helpful indicator in studying the conformational transformation mechanism between H(6)L(I) and L(II-VI). Trapping various conformations in metal-organic structures may be helpful for the stabilization and separation of various conformations of the H(6)L ligand.","['Cyclohexanes', 'Ligands', 'Metals', 'Models, Molecular', 'Molecular Conformation']",18618562,"[['D02.455.426.392.368.367'], ['D27.720.470.480'], ['D01.552'], ['E05.599.595'], ['G02.111.570.820']]","['Chemicals and Drugs [D]', 'Analytical, Diagnostic and Therapeutic Techniques, and Equipment [E]', 'Phenomena and Processes [G]']",0,0,0,1,1,0,1,0,0,0,0,0,0,0
42,[Update on the diagnosis and therapy of blood-transmitted occupational infections].,"The Human Immunodeficiency Virus (HIV) infection, Hepatitis B Virus (HBV) infection and Hepatitis C Virus (HCV) infection are the most important blood borne occupational viral infection. Estimates of the prevalence of HIV infection in Italy is between 0.24 and 0.26%. The implementation of HIV screening strategies in the general population will decrease the proportion of patients with unknown HIV serostatus and the improvement of anti HIV therapie will decrease the proportion of HIV infected patients with detectable viraemia. The increate sensitivity of HBVDNA assays will prompt the definition of cut off levels for the definition of the infectivity of HBsAg positive health workers. The availability of highly effective and well tollerate oral antivirals could increase the proportion of treatable HBsAg positive health workers. The highly elevated success rates in the treatment of acute HCV infection will support strategies aimed at an early identification of occupational HCV infections. The tailoring of anti HCV schedules allows to optimize anti HCV treatment of health workers with chronic hepatitis C and the availability of new anti HCV will open an horizon of success in the treatment of chronic hepatitis C in health workers.","['Blood-Borne Pathogens', 'Communicable Diseases', 'HIV Infections', 'Hepatitis B', 'Hepatitis C', 'Humans', 'Occupational Diseases']",21061703,"[['B05.155'], ['C01.221', 'C23.550.291.531'], ['C01.221.250.875', 'C01.221.812.640.400', 'C01.778.640.400', 'C01.925.782.815.616.400', 'C01.925.813.400', 'C20.673.480'], ['C01.221.250.500', 'C01.925.256.430.400', 'C01.925.440.435', 'C06.552.380.705.437'], ['C01.221.250.750', 'C01.925.440.440', 'C01.925.782.350.350', 'C06.552.380.705.440'], ['B01.050.150.900.649.313.988.400.112.400.400'], ['C24']]","['Organisms [B]', 'Diseases [C]']",0,1,1,0,0,0,0,0,0,0,0,0,0,0
31344,"Shikonin inhibits proliferation, migration, invasion and promotes apoptosis in NCI-N87 cells via inhibition of PI3K/AKT signal pathway.","Shikonin has been testified to wield the anti-tumor action in multiple cancers. But, the clout of Shikonin for gastric cancer (GC) is still inconclusive. The contemplation of this research undertook to disclose the impacts of Shikonin on GC progress meanwhile to uncover the conceivable mechanism. NCI-N87 cells were disposed by Shikonin at diverse concentration points. The trials of CCK-8, colony formation, flow cytometry and Transwell assays were executed for detecting the functions of Shikonin in NCI-N87 cells. The impacts of miR-195 on Shikonin-regulated PI3K/AKT pathway were estimated via western blot. The in vivo trial was detected by xenografts model assay. We found that Shikonin suppressed cell survival and triggered apoptosis in NCI-N87 cells. Additionally, Shikonin restrained cell migration, invasion and down-regulated MMP2, RhoA, ROCK1 and Vimentin expression in NCI-N87 cells. Furthermore, Shikonin notably inhibited PI3K/AKT signal pathway, but the restraining functions were repealed by miR-195 inhibition in NCI-N87 cells. The in vivo trial results revealed that Shikonin determinately impeded tumor formation. In conclusion, these results demonstrated that Shikonin prohibited NCI-N87 cells proliferation, migration, invasion, and accelerated apoptosis by inactivation of PI3K/AKT pathway. The findings maybe provide a fresh opinion for healing GC.","['Animals', 'Antineoplastic Agents', 'Apoptosis', 'Cell Line, Tumor', 'Cell Movement', 'Cell Proliferation', 'Cell Survival', 'Down-Regulation', 'Humans', 'Mice', 'MicroRNAs', 'Naphthoquinones', 'Neoplasm Invasiveness', 'Phosphatidylinositol 3-Kinases', 'Proto-Oncogene Proteins c-akt', 'Signal Transduction', 'Stomach Neoplasms', 'Xenograft Model Antitumor Assays']",31257936,"[['B01.050'], ['D27.505.954.248'], ['G04.146.954.035'], ['A11.251.210.190', 'A11.251.860.180'], ['G04.198', 'G07.568.500.180'], ['G04.161.750', 'G07.345.249.410.750'], ['G04.346'], ['G02.111.240', 'G05.308.200', 'G07.690.773.937'], ['B01.050.150.900.649.313.988.400.112.400.400'], ['B01.050.150.900.649.313.992.635.505.500'], ['D13.150.650.319', 'D13.444.735.150.319', 'D13.444.735.790.552.500'], ['D02.455.426.559.847.638.721', 'D02.806.550', 'D04.615.638.721'], ['C04.697.645', 'C23.550.727.645'], ['D08.811.913.696.620.500'], ['D08.811.913.696.620.682.700.755', 'D12.776.476.565', 'D12.776.624.664.700.168'], ['G02.111.820', 'G04.835'], ['C04.588.274.476.767', 'C06.301.371.767', 'C06.405.249.767', 'C06.405.748.789'], ['E05.337.550.200.900', 'E05.624.850']]","['Organisms [B]', 'Chemicals and Drugs [D]', 'Phenomena and Processes [G]', 'Anatomy [A]', 'Diseases [C]', 'Analytical, Diagnostic and Therapeutic Techniques, and Equipment [E]']",1,1,1,1,1,0,1,0,0,0,0,0,0,0
22102,"Effect of shear stress on platelet adhesion to expanded polytetrafluoroethylene, a silicone sheet, and an endothelial cell monolayer.","We visualized in real-time platelets adhering to the surface of three representative biomaterials, by using an apparatus consisting of a modified cone and plate rheometer combined with an upright epifluorescence microscope under two shear flows (0.1 and 5.0 dyne/cm2). The materials were expanded polytetrafluoroethylene (ePTFE), silicone sheet, and a monolayer of bovine endothelial cells (ECs) formed on glass, all of which are opaque materials used for artificial blood vessels and medical devices. According to quantitative analysis, the monolayer of ECs formed on glass had better blood compatibility than did either the ePTFE or the silicone sheet under shear flow conditions. Under a shear flow condition of 0.1 dyne/cm2, platelet adhesion was silicone sheet > ePTFE. In contrast, under a shear flow condition of 5.0 dyne/cm2, ePTFE > silicone sheet. These results indicate that the intensity of shear stress could modify the order of hemocompatibility of the materials. Therefore, direct observation of platelet adhesion under shear flow conditions is indispensable for testing and screening biomaterials and for providing a precise quantitative evaluation of platelet adhesion.","['Animals', 'Biocompatible Materials', 'Cattle', 'Cells, Cultured', 'Endothelium, Vascular', 'Hemorheology', 'In Vitro Techniques', 'Materials Testing', 'Platelet Adhesiveness', 'Polytetrafluoroethylene', 'Rabbits', 'Silicones', 'Stress, Mechanical']",11110266,"[['B01.050'], ['D25.130', 'D27.720.102.130', 'J01.637.051.130'], ['B01.050.150.900.649.313.500.380.271'], ['A11.251'], ['A07.015.700.500', 'A10.272.491.355'], ['E05.830.250', 'G09.188.370', 'G09.330.380.630'], ['E05.481'], ['E05.570'], ['G09.188.390.600.500', 'G09.188.670'], ['D05.750.395.616', 'D25.720.395.616', 'J01.637.051.720.395.616'], ['B01.050.150.900.649.313.968.700'], ['D02.756.650.700', 'D05.750.900.850', 'D25.720.900.850', 'J01.637.051.720.900.850'], ['G01.374.835']]","['Organisms [B]', 'Chemicals and Drugs [D]', 'Technology, Industry, and Agriculture [J]', 'Anatomy [A]', 'Analytical, Diagnostic and Therapeutic Techniques, and Equipment [E]', 'Phenomena and Processes [G]']",1,1,0,1,1,0,1,0,0,1,0,0,0,0
28958,Stalking on campus: the prevalence and strategies for coping with stalking.,"This epidemiological study explored the prevalence of stalkers and stalking victims among college students. Two questionnaires (one assessing the behaviors of those who stalk others, and the other assessing victims of stalking) were administered to 294 college undergraduates. The questionnaires were then revised and readministered to 299 undergraduates. Thirty percent of the female students and 17% of the males reported having been stalked; 80% reported that they knew their stalker (many had been previously romantically involved with the stalker). Only 1% of the subjects acknowledged having stalked someone, due perhaps to the social undesirability of this behavior. Methods of coping with being stalked were also assessed. The most common response among females was to ignore the stalker; among males it was to confront the stalker.","['Adaptation, Psychological', 'Adult', 'Crime Victims', 'Female', 'Humans', 'Male', 'Prevalence', 'Retrospective Studies', 'Sexual Harassment', 'Students', 'Universities']",9243829,"[['F01.058'], ['M01.060.116'], ['M01.135'], ['B01.050.150.900.649.313.988.400.112.400.400'], ['E05.318.308.985.525.750', 'N01.224.935.597.750', 'N06.850.505.400.975.525.750', 'N06.850.520.308.985.525.750'], ['E05.318.372.500.500.500', 'E05.318.372.500.750.750', 'N05.715.360.330.500.500.500', 'N05.715.360.330.500.750.825', 'N06.850.520.450.500.500.500', 'N06.850.520.450.500.750.825'], ['F01.145.802.950', 'F01.145.813.606'], ['M01.848'], ['I02.783.830', 'J03.832.830']]","['Psychiatry and Psychology [F]', 'Named Groups [M]', 'Organisms [B]', 'Analytical, Diagnostic and Therapeutic Techniques, and Equipment [E]', 'Health Care [N]', 'Anthropology, Education, Sociology, and Social Phenomena [I]', 'Technology, Industry, and Agriculture [J]']",0,1,0,0,1,1,0,0,1,1,0,1,1,0
11699,Early detection of Alzheimer's disease: a new working memory paradigm.,"OBJECTIVES: Early detection of Alzheimer's disease (AD) offers the chance to decelerate the patients' cognitive decline and to prolong a self-determined, independent life. Neuropsychological testing is one key approach to establish an early diagnosis. Whereas more global cognitive abilities can be preserved until further progression of the disease, specific executive abilities such as dual-task or active inhibition processes decline very early. Our recently developed working memory paradigm, the Block Suppression Test (BST), requires an active inhibition of irrelevant stimuli and thus should differentiate between Alzheimer patients and controls in early disease stages more accurately than classical screening instruments.METHODS: In a pilot study we applied the BST, the MMSE, the clock drawing test, a digit-word transformation task as well as verbal and spatial memory span tasks to a group of 13 patients with Alzheimer's disease and 13 elderly controls and compared the instruments' capability to differentiate between patients and controls.RESULTS: The BST showed the highest sensitivity among all applied tests with a perfect differentiation of healthy subjects and patients. The patients' backward spans were significantly reduced, in the inhibition condition they showed disproportionally worse performances.CONCLUSIONS: Our results reveal a specific inhibition deficit in mild AD rather than a global working memory breakdown. The BST thus was superior for early diagnosis. However, these findings must be replicated in a larger sample to prove the BST's applicability for the early diagnostic assessment of AD and other dementias.","['Aged', 'Aged, 80 and over', 'Alzheimer Disease', 'Early Diagnosis', 'Female', 'Humans', 'Inhibition, Psychological', 'Male', 'Mass Screening', 'Memory Disorders', 'Memory, Short-Term', 'Neuropsychological Tests', 'Pilot Projects']",17621381,"[['M01.060.116.100'], ['M01.060.116.100.080'], ['C10.228.140.380.100', 'C10.574.945.249', 'F03.615.400.100'], ['E01.390'], ['B01.050.150.900.649.313.988.400.112.400.400'], ['F01.145.544', 'F02.463.425.475', 'F02.739.794.405'], ['E01.370.500', 'E05.318.308.980.438.580', 'N02.421.726.233.443', 'N05.715.360.300.800.438.500', 'N06.850.520.308.980.438.580', 'N06.850.780.500'], ['C10.597.606.525', 'C23.888.592.604.529', 'F01.700.625'], ['F02.463.425.540.407'], ['F04.711.513'], ['E05.318.372.750', 'E05.337.737', 'N05.715.360.330.720', 'N06.850.520.450.720']]","['Named Groups [M]', 'Diseases [C]', 'Psychiatry and Psychology [F]', 'Analytical, Diagnostic and Therapeutic Techniques, and Equipment [E]', 'Organisms [B]', 'Health Care [N]']",0,1,1,0,1,1,0,0,0,0,0,1,1,0
12053,Electropermeabilization of endocytotic vesicles in B16 F1 mouse melanoma cells.,"It has been reported previously that electric pulses of sufficiently high voltage and short duration can permeabilize the membranes of various organelles inside living cells. In this article, we describe electropermeabilization of endocytotic vesicles in B16 F1 mouse melanoma cells. The cells were exposed to short, high-voltage electric pulses (from 1 to 20 pulses, 60 ns, 50 kV/cm, repetition frequency 1 kHz). We observed that 10 and 20 such pulses induced permeabilization of membranes of endocytotic vesicles, detected by release of lucifer yellow from the vesicles into the cytosol. Simultaneously, we detected uptake of propidium iodide through plasma membrane in the same cells. With higher number of pulses permeabilization of the membranes of endocytotic vesicles by pulses of given parameters is accompanied by permeabilization of plasma membrane. However, with lower number of pulses only permeabilization of the plasma membrane was detected.","['Animals', 'Cell Membrane', 'Cell Membrane Permeability', 'Electroporation', 'Isoquinolines', 'Melanoma, Experimental', 'Mice', 'Propidium', 'Transport Vesicles', 'Tumor Cells, Cultured']",20361267,"[['B01.050'], ['A11.284.149'], ['G03.143.335', 'G04.175'], ['E05.200.500.454', 'E05.242.448', 'E05.301.500'], ['D03.633.100.531'], ['C04.557.465.625.650.510.525', 'C04.557.580.625.650.510.525', 'C04.557.665.510.525', 'C04.619.600', 'E05.598.500.496.937'], ['B01.050.150.900.649.313.992.635.505.500'], ['D03.633.300.633.700'], ['A11.284.430.214.190.875.190.880'], ['A11.251.860']]","['Organisms [B]', 'Anatomy [A]', 'Phenomena and Processes [G]', 'Analytical, Diagnostic and Therapeutic Techniques, and Equipment [E]', 'Chemicals and Drugs [D]', 'Diseases [C]']",1,1,1,1,1,0,1,0,0,0,0,0,0,0
40105,Prevalence of tardive dyskinesia in a clinic population.,"The reported prevalence of tardive dyskinesia (TD) widely ranges from 0.5% to 70%. This variability is probably due to many factors, including different patient characteristics, drug treatment exposures, and investigator biases. The aim of this study was to evaluate the prevalence, severity, and symptom type of TD in all 646 patients residing in a psychiatric hospital. Each patient was assessed by a psychiatrist and a neurologist with a special rating scale after drug dose had been stabilized for a minimum of 1 week. The overall prevalence was 32%, with a slightly higher rate and more severe symptoms in women. Age positively correlated with increasing prevalence and severity of TD. Psychiatric diagnosis and duration of neuroleptic therapy were not significantly correlated with TD prevalence. The results are generally consistent with the majority of findings in other studies of the epidemiology of TD.","['Adult', 'Age Factors', 'Aged', 'Antipsychotic Agents', 'Arousal', 'Cross-Sectional Studies', 'Dose-Response Relationship, Drug', 'Dyskinesia, Drug-Induced', 'Female', 'Humans', 'Long-Term Care', 'Male', 'Middle Aged', 'Psychotic Disorders', 'Stereotyped Behavior']",2860658,"[['M01.060.116'], ['N05.715.350.075', 'N06.850.490.250'], ['M01.060.116.100'], ['D27.505.696.277.950.040', 'D27.505.954.427.210.950.040', 'D27.505.954.427.700.872.331'], ['F02.830.104', 'G11.561.035'], ['E05.318.372.500.875', 'N05.715.360.330.500.875', 'N06.850.520.450.500.875'], ['G07.690.773.875', 'G07.690.936.500'], ['C10.228.662.262.500', 'C10.597.350.275', 'C10.720.312', 'C23.888.592.350.275', 'C25.100.750', 'C25.723.705.200'], ['B01.050.150.900.649.313.988.400.112.400.400'], ['E02.760.476', 'N02.421.585.476'], ['M01.060.116.630'], ['F03.700.675'], ['F01.145.896']]","['Named Groups [M]', 'Health Care [N]', 'Chemicals and Drugs [D]', 'Psychiatry and Psychology [F]', 'Phenomena and Processes [G]', 'Analytical, Diagnostic and Therapeutic Techniques, and Equipment [E]', 'Diseases [C]', 'Organisms [B]']",0,1,1,1,1,1,1,0,0,0,0,1,1,0
30568,"Urbanization and the risk for chronic diseases of lifestyle in the black population of the Cape Peninsula, South Africa.","BACKGROUND: Men and women have experienced differing patterns of urbanization. Men spent more time in the city as migrant labourers, which could be attributed to the influx control legislation during the apartheid years.OBJECTIVE: To investigate urban exposure among black people of the Cape Peninsula, South Africa, in relation to unhealthy lifestyles and the risk factors for chronic diseases of lifestyle.METHODS: Blood pressure, height, weight and serum cholesterol were measured in a random sample of 986 persons, aged 15-64 years. Sociodemographic details, urban exposure, dietary intake patterns and personal habits were elicited by questionnaire. An urbanization index (percentage of life spent in a city), the dietary Keys score and body mass index were calculated. Linear regression modelling for cholesterol and hypertension, and multiple correspondence analysis for risk factors and demographic characteristics were performed.RESULTS: The degree of urbanization had no effect on total serum cholesterol concentrations, which were very low compared with other groups in South Africa. Hypertension was independently related to age, obesity and the degree of urbanization. Smoking patterns were influenced by the degree of urbanization in women only. Correspondence analysis identified groups with clusters of risk factors: formal housing-westernized diet-highly urbanized; male-normal weight-increased exercise-alcohol-smoking; female-obesity-non-smoking; and hypertension-ageing.CONCLUSIONS: Those who spent larger proportions of their lives in an urban setting tended to have unhealthier lifestyles and higher risk for chronic diseases lifestyle compared with their less urbanized counterparts. Groups to whom intervention should be targeted were also identified.","['Adolescent', 'Adult', 'African Americans', 'African Continental Ancestry Group', 'Chronic Disease', 'Female', 'Health Behavior', 'Humans', 'Life Style', 'Male', 'Middle Aged', 'Risk Factors', 'South Africa', 'Urban Population']",9304495,"[['M01.060.057'], ['M01.060.116'], ['M01.686.508.100.100', 'M01.686.754.100'], ['M01.686.508.100'], ['C23.550.291.500'], ['F01.145.488'], ['B01.050.150.900.649.313.988.400.112.400.400'], ['F01.829.458'], ['M01.060.116.630'], ['E05.318.740.600.800.725', 'N05.715.350.200.700', 'N05.715.360.750.625.700.700', 'N06.850.490.625.750', 'N06.850.520.830.600.800.725'], ['Z01.058.290.175.735'], ['N01.600.900']]","['Named Groups [M]', 'Diseases [C]', 'Psychiatry and Psychology [F]', 'Organisms [B]', 'Analytical, Diagnostic and Therapeutic Techniques, and Equipment [E]', 'Health Care [N]', 'Geographicals [Z]']",0,1,1,0,1,1,0,0,0,0,0,1,1,1
